SL,Question,Answer,Topic,Subtopic,,,,
63,Which Temple is regarded as the National Temple of Bangladesh?,Dhaleshwari Temple.,Religion,,,,,
64,How many teams will participate in the 11th Women’s Football World Cup?,48,Current,,,,,
65,Who won the most number of Ballond'or Trophies?,Lionel Messi.,Current,,,,,
66,Which team won ICC world Test Championship 2025?,South Africa,Current,,,,,
67,The Grand slam is associated with which of the sports?,Tennis,Sports,,,,,
68,When did Bangladesh achieve Test playing Status in Cricket?,26 June 2000.,Sports,,,,,
69,Who is the current captain of Bangladesh National women Football team?,Sabina Khatun.,Current,,,,,
70,What is the name of that prison where Nelson Mandela was imprisoned?,Roben Island,Politics,,,,,
71,What is the name of the longest river in the world?,Nile nod.,Geography,,,,,
72,What is the name of Israel’s intelligence agency?,Mossad,Politics,,,,,
73,What is the difference between Tide and Ebb?,6 hours 13 minutes,Geography,,,,,
74,Where does The Padma meet The Jamuna?,At Goalanda (Rajbari),Geography,,,,,
75,Why do we apply deodorant or antiperspirant?,To stop body sweating and reduce odor.,Science,,,,,
76,Which part of the refrigerator keeps food frozen?,Freezer compartment.,Science,,,,,
77,What causes rusting of iron?,Oxygen and water.,Science,,,,,
78,Why do clothes dry faster on a sunny day?,Due to faster evaporation.,Science,,,,,
79,What is the main function of toothpaste?,Clean and protect teeth from decay.,Science,,,,,
80,Why do ice cubes melt faster in water than in air?,Water transfers heat faster.,Science,,,,,
81,What is the toll-free national emergency helpline number?,999,Politics,,,,,
82,According to UNICEF Bangladesh ranks which position in the world for lead pollution affecting children?,Fourth.,Current,,,,,
83,In which district 56th Public University will be launched?,Bogura,Current,,,,,
84,Kalavati sharee is made from banana thread in which district?,Bandarban,Geography,,,,,
85,Dojangkha is the language of which country?,Bhutan,Geography,,,,,
86,Who is the Chief Justice of Bangladesh?,Syed Refaat Ahmed.,Current,,,,,
87,Who is the founder of SpaceX?,Elon Reeve Musk,Science,,,,,
88,ASEAN was formed in which year?,1967,History,,,,,
89,What is the percentage of Government ownership in Grameen Bank?,10%,Current,,,,,
90,"On 28 February 2025, which political party was inaugurated in Bangladesh?",National Citizen Party (NCP).,Current,,,,,
91,Who is the first prime minister of Bangladesh?,Tajuddin Ahmed,History,,,,,
92,Who was the greatest king of the Pala dynasty?,Dharmapala.,History,,,,,
93,In which year Bangla Academy established?,In 1955.,Art & Literature,,,,,
94,Who was the greatest emperor of Mughal empire?,Emperor Akbar.,History,,,,,
95,Who was the director of drama film “Chandrakotha”?,Humayun Ahmed.,Art & Literature,,,,,
96,Which the father of modern India?,Raja Ram Mohan Roy.,History,,,,,
97,Who wrote the famous poetry book “Banalata Sen”?,Jibanananda Das.,Art & Literature,,,,,
98,Who wrote the play “Hamlet”?,Shakespeare.,Art & Literature,,,,,
99,Who composed the poem of “Dui Bigha Jomi”?,Rabindranath Tagore.,Art & Literature,,,,,
100,What is the pseudonym of “Balai chand Mukhopadhyay”?,Banaful.,Art & Literature,,,,,
101,Who is considered the pioneer of Muslim women’s awakening?,Begum Rokeya Sakhawat Hossain.,Art & Literature,,,,,
102,Who was the translator of our national anthem?,Syed Ali Ahsan.,Art & Literature,,,,,
103,Who wrote the drama “Kabar”?,Munier Choudhury.,Art & Literature,,,,,
104,When did the recruitment of women in the armed forces begin?,2000,Armed Forces,,,,,
105,Who was the first principal of Mymensingh Girls’ Cadet College?,Karim Uddin Ahmed.,Armed Forces,,,,,
106,Cadet Colleges are under which ministry?,Ministry of Defense,Armed Forces,,,,,
107,How many Cadet Colleges were established in Bangladesh before our Liberation War?,4,Armed Forces,,,,,
108,What is the Bengali meaning of the word cadet?,Apprentice soldier.,Armed Forces,,,,,
109,What is the new name of US Department of Armed Forces?,Department of War,Current,,,,,
110,"In the upcoming national election, what is the name of the method used for collecting the votes of the expatriates?",Postal Ballot/ Postal Vote,Current,,,,,
111,Who has won the Nobel peace prize in 2025,María Corina Machado,Current,,,,,
112,What is the mascot of 23rd FIFA World Cup?,Maple/Zayu/Clutch,Current,,,,,
113,Which Bangladeshi vaccine is the first to have obtained American patent?,Bangavax,Current,,,,,
114,What is the name of the AI-based web broswer made by the OpenAI?,ChatGPT Atlas,Current,,,,,
115,What is the name of the latest International Airport in Bangladesh?,Cox'sbazar Airport,Current,,,,,
116,Which Bangladeshi cricketer has scored a century in his 100th test?,Mushfiqur Rahim,Current,,,,,
117,Who has been elected as the first Muslim Mayor of the city of New York?,Zohran Mamdani,Current,,,,,
118,What is the most populous city as per the report of the World Urbanization Prospects 2025?,Jakarta,Current,,,,,
119,Who first used the term 'Bangla' in Art & Literature?,Abul Fazl,Art & Literature,,,,,
120,What is the origin of the word 'Politics',Politika,Politics,,,,,
121,What is oldest active political party in the world?,Democratic Party (USA),Politics,,,,,
122,In which year was the first national election held in Bangaldesh?,1973,Politics,,,,,
123,The Jatiya Sangsad of Bangladesh has how many seats,350,Politics,,,,,
124,What is the former name of Mymensingh?,Nasirabad,Geography,,,,,
125,Which district in Bangladesh has largest population of Hajong people?,Netrokona,Geography,,,,,
126,Which company developed the MacOS  operating system?   ,Apple,Science,,,,,
127,What is the origin of the word library?   ,Liber,Art & Literature,,,,,
128,Who introduced a holiday on the eve of Bengali New year?, A K Fazlul Haque ,History,,,,,
129,Which district is known as the Dandy of the east?   ,Narayanganj,Geography,,,,,
130,What is the scientific name of white jute? ,Corchorus capsularis,Science,,,,,
131,Which Christian holiday celebrates the resurrection of Jesus from the dead?,Easter,Religion,Christianity,,,,
132,"According to the New Testament, in which town was Jesus born?",Bethlehem,Religion,Christianity,,,,
133,What are the two main subdivisions or sacraments of spiritual practice in the global Christian Church?,Catholicism and Protestantism,Religion,Christianity,,,,
134,What are the oldest and most sacred scriptures of Hinduism called?,The Vedas,Religion,Hinduism,,,,
135,"In Hinduism, what is the term for the cycle of rebirth and reincarnation?",Samsara,Religion,Hinduism,,,,
136,What Hindu concept represents the universal law of cause and effect?,Karma,Religion,Hinduism,,,,
137,What is the major Hindu festival of lights that celebrates the victory of light over darkness?,Diwali,Religion,Hinduism,,,,
138,What are the foundational teachings of Buddhism regarding suffering and its cessation called?,The Four Noble Truths,Religion,Buddhism,,,,
139,"In Buddhism, what is the ultimate state of liberation and freedom from suffering?",Nirvana,Religion,Buddhism,,,,
140,Which branch of Buddhism is known as the 'School of the Elders' and is prevalent in Southeast Asia?,Theravada,Religion,Buddhism,,,,
141,"What is the term for the spiritual community of monks, nuns, and laypeople in Buddhism?",Sangha,Religion,Buddhism,,,,
142,"What is the primary sacred text of Judaism, comprising the first five books of the Hebrew Bible?",The Torah,Religion,Judaism,,,,
143,Which Jewish holiday commemorates the liberation of the Israelites from Egyptian slavery?,Passover,Religion,Judaism,,,,
144,What is the name of the Jewish day of rest and spiritual enrichment observed from Friday evening to Saturday evening?,Shabbat,Religion,Judaism,,,,
145,What is the name of the eternal living Guru and holy scripture of Sikhism?,Guru Granth Sahib,Religion,Sikhism,,,,
146,What is the central religious place of worship for Sikhs called?,Gurdwara,Religion,Sikhism,,,,
147,What are the five articles of faith that an initiated Sikh must wear at all times called?,The Five Ks,Religion,Sikhism,,,,
148,"In which Indian city is the Harmandir Sahib, commonly known as the Golden Temple, located?",Amritsar,Religion,Sikhism,,,,
149,How many chapters (Surahs) are there in the Holy Quran?,114,Religion,Islam,,,,
150,Which is the longest chapter (Surah) in the Quran?,Surah Al-Baqarah,Religion,Islam,,,,
151,Which chapter (Surah) of the Quran does not begin with Bismillah?,Surah At-Tawbah,Religion,Islam,,,,
152,What was the first word of the Quran revealed to Prophet Muhammad?,Iqra (Read/Recite),Religion,Islam,,,,
153,Over a period of how many years was the Quran gradually revealed?,23 years,Religion,Islam,,,,
154,Which companion of Prophet Muhammad is explicitly mentioned by name in the Quran?,Zayd ibn Harithah,Religion,Islam,,,,
155,Who was chosen as the first Caliph of Islam after the passing of Prophet Muhammad?,Abu Bakr Al-Siddiq,Religion,Islam,,,,
156,During the caliphate of which leader was the official standardized written text of the Quran compiled?,Uthman ibn Affan,Religion,Islam,,,,
157,What city served as the capital of the Umayyad Caliphate?,Damascus,Religion,Islam,,,,
158,What city served as the capital of the Abbasid Caliphate?,Baghdad,Religion,Islam,,,,
159,Who was the famous Muslim general who led the conquest of Spain (Al-Andalus) in 711 CE?,Tariq ibn Ziyad,Religion,Islam,,,,
160,"In which year of the Gregorian calendar did the Migration (Hijrah) to Medina take place, marking the start of the Islamic calendar?",622 CE,Religion,Islam,,,,
161,"Which prophet in Islam is known for his immense patience during a severe, long-term illness?",Prophet Ayyub (Job),Religion,Islam,,,,
162,Which prophet was blessed with the ability to speak to animals and control the jinn?,Prophet Sulaiman (Solomon),Religion,Islam,,,,
163,Which prophet built the Ark to save his followers and pairs of animals from a devastating flood?,Prophet Nuh (Noah),Religion,Islam,,,,
164,"What was the name of Prophet Muhammad's first wife, who was also the first person to accept Islam?",Khadijah bint Khuwaylid,Religion,Islam,,,,
165,What was the original name of the city of Medina before the Prophet migrated there?,Yathrib,Religion,Islam,,,,
166,What is the name of the final sermon delivered by Prophet Muhammad during his last Hajj?,The Farewell Sermon (Khutbat al-Wada),Religion,Islam,,,,
167,What are the names of the two grandsons of Prophet Muhammad whom he famously called the masters of the youth of Paradise?,Hasan and Husayn,Religion,Islam,,,,
168,What is the name of the angel who was responsible for bringing revelations from God to the prophets?,Angel Jibril (Gabriel),Religion,Islam,,,,
169,"Which city contains the Al-Aqsa Mosque, the third holiest site in Islam?",Jerusalem,Religion,Islam,,,,
170,Which Islamic month follows Ramadan and begins with the celebration of Eid al-Fitr?,Shawwal,Religion,Islam,,,,
171,Which chapter (Surah) of the Quran is dedicated entirely to describing the absolute oneness of Allah?,Surah Al-Ikhlas,Religion,Islam,,,,
172,"Which prophet was sent to the people of Aad and is known for surviving a roaring, violent windstorm?",Prophet Hud,Religion,Islam,,,,
173,Which prophet was famously thrown into a blazing fire by King Nimrod but emerged completely unharmed?,Prophet Ibrahim (Abraham),Religion,Islam,,,,
174,Which prophet is known as the 'Spirit of God' (Ruhullah)?,Prophet Isa (Jesus),Religion,Islam,,,,
175,What was the name of the historic treaty signed between Muslims and the Quraysh tribe in 628 CE that led to a decade of peace?,The Treaty of Hudaybiyyah,Religion,Islam,,,,
176,Who was the first person to call the Adhan (call to prayer) in Islam?,Bilal ibn Rabah,Religion,Islam,,,,
177,Which companion was famously nicknamed 'The Sword of Allah' due to his brilliant military strategy?,Khalid ibn al-Walid,Religion,Islam,,,,
178,What was the name of the foster mother who nursed Prophet Muhammad during his infancy in the desert?,Halimah al-Sa'diyyah,Religion,Islam,,,,
179,What was the first mosque built by Prophet Muhammad and his companions upon arriving in Medina?,Quba Mosque,Religion,Islam,,,,
180,Which Muslim dynasty succeeded the Umayyad Caliphate in 750 CE and ruled during the Islamic Golden Age?,The Abbasid Caliphate,Religion,Islam,,,,
181,What was the name of the famous library and academic center founded in Cairo during the Fatimid Caliphate?,Dar al-Hikma (House of Wisdom),Religion,Islam,,,,
182,"Which historic city in Spain became a renowned global center of learning, philosophy, and science under Muslim rule?",Cordoba,Religion,Islam,,,,
183,"What is the term for actions that are highly discouraged in Islam, though not strictly forbidden or sinful?",Makruh,Religion,Islam,,,,
184,"What is the specific name of the well located near the Kaaba in Mecca, revered for its miraculously flowing water?",Zamzam Well,Religion,Islam,,,,
185,Which Islamic month is traditionally known as the month of the Hajj pilgrimage?,Dhul-Hijjah,Religion,Islam,,,,
186,How many books are there in the standard Protestant Old Testament?,39,Religion,Christianity,,,,
187,Which four books of the New Testament are collectively known as the Gospels?,"Matthew, Mark, Luke, and John",Religion,Christianity,,,,
188,What are the two major divisions of the Christian Bible?,The Old Testament and the New Testament,Religion,Christianity,,,,
189,"On which hill outside Jerusalem was Jesus Christ crucified, according to Christianity?",Golgotha (or Calvary),Religion,Christianity,,,,
190,"Which Roman Emperor was the first to convert to Christianity, making it legal across the empire?",Constantine the Great,Religion,Christianity,,,,
191,What Christian sacrament or ritual uses water to symbolize purification and admission into the Church?,Baptism,Religion,Christianity,,,,
192,"According to the Book of Genesis, who was the brother that Cain killed in the world's first murder?",Abel,Religion,Christianity,,,,
193,"Which christian doctrine states that God exists as three co-equal, co-eternal persons: the Father, the Son, and the Holy Spirit?",The Trinity,Religion,Christianity,,,,
194,What language was the majority of the New Testament originally written in?,Greek,Religion,Christianity,,,,
195,Who is recognized as the key figure who sparked the Protestant Reformation in 1517 by posting his 95 Theses?,Martin Luther,Religion,Christianity,,,,
196,"What is the name of the 40-day period of fasting, repentance, and prayer preceding Easter?",Lent,Religion,Christianity,,,,
197,Which Old Testament prophet famously parted the Red Sea to help the Israelites escape Egypt?,Moses,Religion,Christianity,,,,
198,What are the names of the three gifts brought by the Magi (Wise Men) to the infant Jesus?,"Gold, frankincense, and myrrh",Religion,Christianity,,,,
199,In which river was Jesus baptized by John the Baptist?,The Jordan River,Religion,Christianity,,,,
200,What major Christian feast day commemorates the descent of the Holy Spirit upon the Apostles?,Pentecost,Religion,Christianity,,,,
201,"What is the name of the most sacred text in Judaism, consisting of the first five books of the Hebrew Bible?",The Torah,Religion,Judaism,,,,
202,What is the general name for a Jewish house of worship?,Synagogue,Religion,Judaism,,,,
203,"Which day of the week is the Jewish Sabbath (day of rest), observed from Friday evening to Saturday evening?",Shabbat,Religion,Judaism,,,,
204,Who is considered the founding patriarch of Judaism who made the first covenant with God?,Abraham,Religion,Judaism,,,,
205,What is the name of the spiritual leader or teacher of a Jewish congregation?,Rabbi,Religion,Judaism,,,,
206,Which Jewish holiday is known as the Festival of Lights?,Hanukkah,Religion,Judaism,,,,
207,What term describes food that is prepared according to Jewish dietary laws?,Kosher,Religion,Judaism,,,,
208,Which major prophet led the Israelites out of Egypt and received the Ten Commandments?,Moses,Religion,Judaism,,,,
209,What is the Jewish New Year holiday called?,Rosh Hashanah,Religion,Judaism,,,,
210,What traditional headcovering is worn by Jewish men (and some women) during prayer or in daily life?,Kippah (or Yarmulke),Religion,Hinduism,,,,
211,What is the name of the universal law of cause and effect in Hinduism?,Karma,Religion,Hinduism,,,,
212,"What is the term for the cycle of birth, death, and rebirth (reincarnation) in Hinduism?",Samsara,Religion,Hinduism,,,,
213,Which Hindu deity is known as the Remover of Obstacles and is depicted with an elephant head?,Ganesha,Religion,Hinduism,,,,
214,What is the ultimate goal of liberation from the cycle of rebirth in Hinduism called?,Moksha,Religion,Hinduism,,,,
215,"Which popular spring festival in Hinduism is celebrated by throwing vibrant, colored powders?",Holi,Religion,Hinduism,,,,
216,What sacred syllable or sound is considered the most mystical and primordial mantra in Hinduism?,Om (Aum),Religion,Hinduism,,,,
217,"Which river in India is considered the most sacred in Hinduism, believed to purify sins?",The Ganges (Ganga),Religion,Hinduism,,,,
218,Who are the three main gods that make up the Hindu Trimurti (the triad of cosmic functions)?,"Brahma, Vishnu, and Shiva",Religion,Hinduism,,,,
219,What does the title 'Buddha' mean?,The Awakened One (or Enlightened One),Religion,Buddhism,,,,
220,What are the foundational core teachings of Buddhism concerning the nature of suffering called?,The Four Noble Truths,Religion,Buddhism,,,,
221,What is the path of eight practices outlined by the Buddha to end suffering called?,The Eightfold Path,Religion,Buddhism,,,,
222,"What is the Buddhist principle that actions have consequences, shaping one's future lives?",Karma,Religion,Buddhism,,,,
223,What are the three main branches or schools of Buddhism?,"Theravada, Mahayana, and Vajrayana",Religion,Buddhism,,,,
224,"What is the term for the spiritual community of Buddhist monks, nuns, and followers?",Sangha,Religion,Buddhism,,,,
225,Under which type of tree did Siddhartha Gautama achieve enlightenment?,Bodhi tree,Religion,Buddhism,,,,
226,"What are the primary sacred scriptures of Theravada Buddhism, meaning 'Three Baskets', called?",Tipitaka (or Pali Canon),Religion,Buddhism,,,,
227,What term is used in Mahayana Buddhism for an enlightened being who chooses to delay Nirvana to help others?,Bodhisattva,Religion,Buddhism,,,,
228,"What form of non-judgmental, present-moment awareness is a central practice in Buddhist meditation?",Mindfulness (Sati),Religion,Buddhism,,,,
229,Which famous ancient Indian emperor embraced Buddhism after the Kalinga War and helped spread it across Asia?,Emperor Ashoka,Religion,Buddhism,,,,
230,What is the name of the spiritual leader of Tibetan Buddhism?,The Dalai Lama,Religion,Buddhism,,,,
231,What is the new name of Kurmitola General Hospital?,Kurmitola ‍Multi Care Specialized Hospital,Current,,,,,
232,What is highest ranking of Bangladesh Test Cricket?,7th,Current,,,,,
233,Who has become the third Bangladeshi woman and eighth Bangladeshi overall to summit Mount Everest?,Nurunnahar Nimni,Current,,,,,
234,Who is the President-elect of the United Nations General Assembly (UNGA),Dr. Khalilur Rahman,Current,,,,,
235,In which district of Bangaldesh was cashless prison management system launched?,Munshiganj,Current,,,,,
236,Who is the current Indian High Commissioner in Bangladesh?,Dinesh Trivedi,Current,,,,,
237,"What was the magnitude of the recent Earthquake in Venezulea on 24 June, 2026",7.2,Current,,,,,
238,Which country did the Prime Minister Tarique Rahman go on his first overseas visit?,Malaysia,Current,,,,,
239,How many Marine Protected Areas (MPAs) are there in Bangladesh?,6,Current,,,,,
240,What is the latest medical college in Bangladesh?,Narsingdi Medical College,Current,,,,,
241,What is the per capita income of Bangladesh?,"$3,020",Current,,,,,
242,Who is the world's first trillionaire?,Elon mask,Current,,,,,
243,Which European football team has recently been defeated by Bangladesh Footbal team?, San Marino,Current,,,,,
244,"According to the 2026 Global Peace Index, which country is the world's most peaceful country?",Iceland,Current,,,,,
245,Who is the youngest player at the 2026 FIFA World Cup?,Gilberto Mora,Current,,,,,
246,Which book is the winner of the International Booker Prize 2026?,Taiwan Travelogue,Current,,,,,
247,Which film won the Palme d'Or at the 79th Cannes Film Festival?,Fjord (Pron. fee-ORD),Current,,,,,
248,Which is the top fish-producing nation?,China,Current,,,,,
249,What is the full form of ECOSOC,Economic and Social Council (UN),Current,,,,,
250,Who is the president of Cockroach Janta Party?,Abhijeet Dipke,Current,,,,,
251,Which club won the Bundesliga 2025-26?,FC Bayern Munich,Current,,,,,
252,What is the name of Türkiye's first intercontinental ballistic missile (ICBM),Yildirimhan,Current,,,,,
253,Which country ranks first in World Press Freedom Index 2026,Norway,Current,,,,,
254,Which is Bangladesh's 13th City COrporation?,Bogura,Current,,,,,
255,What is the official slogan for the 2026 FIFA World Cup?,WE ARE 26,Current,,,,,
256,Who won the  DW Freedom of Speech Award 2026,Jimmy Lai,Current,,,,,
257,Which newspaper won the 2026 Pulitzer Prizes in Investigative Reporting category?,The New York Times,Current,,,,,
258,What is the total planned capacity of Rooppur Nuclear Power Plant?,"2,400 megawatt",Current,,,,,
259,Which disease caused by Hantaviruses are prevalent in Europe and Asia?,Hemorrhagic Fever with Renal Syndrome (HFRS),Current,,,,,
260,"Who is 9th and current Chief Minister of West Bengal, India?",Suvendu Adhikari,Current,,,,,
261,What is the 13th International Cricket venue in Bangladesh?,Rajshahi,Current,,,,,
262,"Who is the first Bangladeshi to summit Mount Makalu, the world’s fifth-highest peak?",Babar Ali,Current,,,,,
263,What is the current total power generation capacity in the country? ,"32,332 MW",Current,,,,,
264,What is the full form of NASA?,National Aeronautics and Space Administration,Abbr,,,,,
265,What is the full form of UNESCO?,"United Nations Educational, Scientific and Cultural Organization",Abbr,,,,,
266,What is the full form of UNICEF?,United Nations International Children's Emergency Fund,Abbr,,,,,
